population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,All Population,5,Prevalence,69,Singapore,1,Male,6,5-9 years,572,Eating disorders,1,Number,1990,7.960768551608382,16.21120346872587,3.446604498350066
1,All Population,5,Prevalence,69,Singapore,2,Female,6,5-9 years,572,Eating disorders,1,Number,1990,13.78813709331422,29.21496363700821,6.184321197607397
1,All Population,5,Prevalence,69,Singapore,1,Male,6,5-9 years,572,Eating disorders,1,Number,1991,7.623889164868884,15.695128971140743,3.355900128840463
1,All Population,5,Prevalence,69,Singapore,2,Female,6,5-9 years,572,Eating disorders,1,Number,1991,13.33708026451782,28.00097485395088,5.924553361673736
1,All Population,5,Prevalence,69,Singapore,1,Male,6,5-9 years,572,Eating disorders,1,Number,1992,7.3769124459324225,15.185250860788724,3.29331623111628
1,All Population,5,Prevalence,69,Singapore,2,Female,6,5-9 years,572,Eating disorders,1,Number,1992,12.788647018623216,26.81603679945681,5.628027704139983
1,All Population,5,Prevalence,69,Singapore,1,Male,6,5-9 years,572,Eating disorders,1,Number,1993,7.336059192427906,15.075059259897364,3.3107403703711054
1,All Population,5,Prevalence,69,Singapore,2,Female,6,5-9 years,572,Eating disorders,1,Number,1993,12.343666086911783,25.744466468018736,5.443500246694319
1,All Population,5,Prevalence,69,Singapore,1,Male,6,5-9 years,572,Eating disorders,1,Number,1994,7.592313860596705,15.553386409759243,3.442499990673378
1,All Population,5,Prevalence,69,Singapore,2,Female,6,5-9 years,572,Eating disorders,1,Number,1994,12.299611053479396,25.430148130582616,5.462352403740002
1,All Population,5,Prevalence,69,Singapore,1,Male,6,5-9 years,572,Eating disorders,1,Number,1995,8.135200427047675,16.487830936054642,3.681512136092128
1,All Population,5,Prevalence,69,Singapore,2,Female,6,5-9 years,572,Eating disorders,1,Number,1995,12.779241622802925,25.981821682013525,5.747352603846221
1,All Population,5,Prevalence,69,Singapore,1,Male,6,5-9 years,572,Eating disorders,1,Number,1996,9.209181917180388,18.62695800161196,4.16439436223285
1,All Population,5,Prevalence,69,Singapore,2,Female,6,5-9 years,572,Eating disorders,1,Number,1996,13.892140237768285,28.31989073984541,6.231376497949
